protocol,task_id,K,pre_nll,adapted_nll,gain_nll
online_write,5,2,3.3733874827246124,3.378225158906759,-0.0048376761821464775
online_write,5,4,3.3733874827246124,3.3769230247352264,-0.0035355420106140123
online_write,5,8,3.3733874827246124,3.3758729806617844,-0.00248549793717201
online_write,5,16,3.3733874827246124,3.3764226656090504,-0.003035182884437937
online_write,5,32,3.3733874827246124,3.377369309878263,-0.003981827153650475
online_write,6,0,3.020156422410924,3.020156422410924,0.0
online_write,6,1,3.020156422410924,3.019764917222937,0.00039150518798702905
online_write,6,2,3.020156422410924,3.023951320985895,-0.0037948985749709507
online_write,6,4,3.020156422410924,3.0254852896876656,-0.0053288672767415335
online_write,6,8,3.020156422410924,3.0185064227257805,0.001649999685143566
online_write,6,16,3.020156422410924,3.036307835993081,-0.01615141358215677
online_write,6,32,3.020156422410924,3.0187582664256887,0.0013981559852354053
online_write,7,0,3.3125859829291673,3.3125859829291673,0.0
online_write,7,1,3.3125859829291673,3.3144703268649325,-0.001884343935765198
online_write,7,2,3.3125859829291673,3.3171499738280863,-0.0045639908989190126
online_write,7,4,3.3125859829291673,3.3142624837800003,-0.0016765008508330403
online_write,7,8,3.3125859829291673,3.3162629196112956,-0.003676936682128318
online_write,7,16,3.3125859829291673,3.316556393359575,-0.003970410430407689
online_write,7,32,3.3125859829291673,3.324486700962362,-0.011900718033194924
online_write,8,0,3.0763975007583,3.0763975007583,0.0
online_write,8,1,3.0763975007583,3.082063523049003,-0.005666022290702788
online_write,8,2,3.0763975007583,3.082732143800577,-0.0063346430422766
online_write,8,4,3.0763975007583,3.0806222830166003,-0.0042247822583001415
online_write,8,8,3.0763975007583,3.081044088642136,-0.004646587883835984
online_write,8,16,3.0763975007583,3.0808911526681775,-0.004493651909877272
online_write,8,32,3.0763975007583,3.081098923746611,-0.004701422988310888
online_write,9,0,3.319520150198045,3.319520150198045,0.0
online_write,9,1,3.319520150198045,3.323939097230534,-0.004418947032489129
online_write,9,2,3.319520150198045,3.3220289423656117,-0.002508792167566831
online_write,9,4,3.319520150198045,3.320793950244,-0.0012738000459551202
online_write,9,8,3.319520150198045,3.3213385671863973,-0.0018184169883523893
online_write,9,16,3.319520150198045,3.3225662424322047,-0.0030460922341597474
online_write,9,32,3.319520150198045,3.3239536779761965,-0.004433527778151536
